iter	RMSE
0	136417.7427
1	131852.7738
2	127244.4801
3	123204.8377
4	118810.2289
5	114826.0106
6	111142.3523
7	107451.4889
8	104081.1339
9	100881.4014
10	97779.89114
11	94695.05508
12	91811.08842
13	89096.37754
14	86798.98702
15	84472.06982
16	82166.45785
17	79878.49632
18	77807.93828
19	75619.7057
20	73772.97957
21	71960.6306
22	70151.13555
23	68553.3684
24	66813.98708
25	65377.63185
26	63937.69026
27	62705.8512
28	61398.77856
29	60313.65514
30	59058.97424
31	58164.74517
32	57069.39043
33	55989.48538
34	54784.80277
35	53841.16204
36	52902.91942
37	51908.74259
38	50855.90775
39	49885.38216
40	49157.42222
41	48412.71638
42	47718.74449
43	46959.62628
44	46416.5797
45	45721.72679
46	45018.20344
47	44330.85887
48	43717.46877
49	43093.15399
50	42558.68642
51	42123.57807
52	41756.14991
53	41241.79874
54	40635.39397
55	40160.30795
56	39822.25902
57	39298.46739
58	38928.55291
59	38567.45976
60	38265.19674
61	37878.51579
62	37487.64413
63	37177.55969
64	36784.02359
65	36421.07648
66	36112.16807
67	35749.67007
68	35474.09718
69	35119.81511
70	34844.3657
71	34513.66304
72	34281.81449
73	33972.53811
74	33708.37371
75	33510.1123
76	33334.69857
77	33079.04238
78	32857.06144
79	32694.63637
80	32453.73682
81	32176.01252
82	31957.08175
83	31802.50093
84	31561.18431
85	31352.72461
86	31124.55076
87	30903.99693
88	30741.36292
89	30538.78047
90	30369.26134
91	30215.67868
92	30039.71831
93	29872.30554
94	29750.18129
95	29620.45851
96	29483.77837
97	29271.50692
98	29120.12682
99	28952.14203
100	28865.5221
101	28719.40482
102	28569.08899
103	28423.2217
104	28266.57977
105	28170.4379
106	28040.9536
107	27917.06042
108	27752.22782
109	27571.99052
110	27493.51276
111	27401.7641
112	27246.3385
113	27115.09117
114	27025.49912
115	26886.40528
116	26781.77649
117	26625.26548
118	26478.87694
119	26368.77172
120	26274.6854
121	26092.10519
122	25950.69014
123	25846.21485
124	25768.9978
125	25693.43144
126	25606.40127
127	25466.84473
128	25334.16492
129	25250.71296
130	25183.24569
131	25088.66664
132	24947.58637
133	24817.42104
134	24708.56708
135	24627.63209
136	24557.00274
137	24456.03517
138	24348.24878
139	24260.41469
140	24145.65002
141	24068.7874
142	23985.77151
143	23922.29461
144	23831.40962
145	23751.98133
146	23592.58917
147	23496.13545
148	23399.90873
149	23295.60347
150	23237.75115
151	23171.47643
152	23090.75696
153	23016.00668
154	22921.77275
155	22784.95221
156	22721.3939
157	22621.41435
158	22534.60555
159	22416.67817
160	22370.40583
161	22294.21754
162	22232.15422
163	22155.54233
164	22039.23158
165	21969.71352
166	21872.98048
167	21783.93344
168	21716.86296
169	21647.70479
170	21575.38057
171	21474.64013
172	21402.59691
173	21337.4167
174	21282.10161
175	21218.43689
176	21125.40064
177	21054.42907
178	20979.00252
179	20857.39977
180	20781.39275
181	20727.29516
182	20659.36261
183	20561.79799
184	20487.5901
185	20429.85096
186	20385.33284
187	20315.41182
188	20250.64406
189	20187.33679
190	20133.00728
191	20065.78974
192	20005.78359
193	19943.31402
194	19897.04236
195	19819.01102
196	19730.41844
197	19670.29547
198	19580.61166
199	19501.61223
200	19433.57599
201	19365.31692
202	19311.73507
203	19238.27054
204	19122.70512
205	19054.32105
206	18962.34188
207	18906.00726
208	18845.60648
209	18774.82
210	18684.59939
211	18627.51713
212	18536.8881
213	18471.89723
214	18390.50275
215	18322.97471
216	18265.87102
217	18217.48197
218	18169.97294
219	18104.24113
220	18037.59024
221	17968.14187
222	17924.90265
223	17896.79752
224	17845.0718
225	17830.97668
226	17771.74221
227	17744.74245
228	17673.92223
229	17619.48439
230	17576.31125
231	17505.86639
232	17444.87011
233	17400.7329
234	17316.23209
235	17271.30824
236	17242.30857
237	17201.04297
238	17149.3471
239	17091.75867
240	17045.52824
241	17035.01429
242	16965.79263
243	16928.84389
244	16883.257
245	16829.23888
246	16762.94796
247	16726.95261
248	16666.14486
249	16622.45395
250	16568.3015
251	16521.03492
252	16472.93603
253	16430.30107
254	16398.93191
255	16354.03152
256	16282.4471
257	16236.69837
258	16189.34322
259	16116.58554
260	16053.34269
261	16019.89932
262	15980.09391
263	15942.33273
264	15903.50695
265	15852.06107
266	15816.45136
267	15774.45837
268	15722.86112
269	15682.96798
270	15642.7533
271	15614.90663
272	15553.84998
273	15519.98959
274	15475.29046
275	15424.90077
276	15368.08231
277	15312.25987
278	15276.37345
279	15233.02362
280	15194.89612
281	15151.97316
282	15115.00974
283	15089.76009
284	15042.17676
285	15013.37534
286	14985.14808
287	14923.97874
288	14896.93347
289	14839.66521
290	14798.82054
291	14741.43484
292	14693.04379
293	14641.14946
294	14578.48862
295	14534.36632
296	14490.98178
297	14441.68232
298	14405.41193
299	14369.24964
