iter	Passed	Remaining
0	1	358
1	2	349
2	3	345
3	4	341
4	5	339
5	6	336
6	8	336
7	9	335
8	10	333
9	11	333
10	12	331
11	13	331
12	14	330
13	16	330
14	17	329
15	18	327
16	19	325
17	20	324
18	21	323
19	22	321
20	24	320
21	25	319
22	26	317
23	27	316
24	28	315
25	29	313
26	30	312
27	31	310
28	33	309
29	34	308
30	35	307
31	36	306
32	37	304
33	38	304
34	40	303
35	41	302
36	42	301
37	43	301
38	44	300
39	46	299
40	47	298
41	48	296
42	49	295
43	50	294
44	51	292
45	52	291
46	53	290
47	55	288
48	56	287
49	57	286
50	58	285
51	59	284
52	60	283
53	61	281
54	62	280
55	64	279
56	65	278
57	66	277
58	67	276
59	68	275
60	69	273
61	71	272
62	72	271
63	73	271
64	74	269
65	75	268
66	76	267
67	78	266
68	79	265
69	80	264
70	81	263
71	82	261
72	83	260
73	84	259
74	86	258
75	87	257
76	88	256
77	89	254
78	90	253
79	91	252
80	93	251
81	94	252
82	96	251
83	97	250
84	98	248
85	99	247
86	100	246
87	101	245
88	102	243
89	104	242
90	105	241
91	106	240
92	107	239
93	108	238
94	109	237
95	110	235
96	112	234
97	113	233
98	114	231
99	115	230
100	116	229
101	117	228
102	118	227
103	119	226
104	121	224
105	122	223
106	123	222
107	124	221
108	125	219
109	126	218
110	127	217
111	128	216
112	129	214
113	131	213
114	132	212
115	133	211
116	134	210
117	135	209
118	136	208
119	137	206
120	139	205
121	140	204
122	141	203
123	142	202
124	143	201
125	144	199
126	145	198
127	147	197
128	148	196
129	149	195
130	150	194
131	151	192
132	152	191
133	153	190
134	155	189
135	156	188
136	157	187
137	158	186
138	159	184
139	160	183
140	161	182
141	162	181
142	164	180
143	165	178
144	166	177
145	167	176
146	168	175
147	169	174
148	170	173
149	171	171
150	172	170
151	174	169
152	175	168
153	176	167
154	177	165
155	178	164
156	179	163
157	180	162
158	182	161
159	183	160
160	184	159
161	185	158
162	186	156
163	187	155
164	188	154
165	190	153
166	191	152
167	192	151
168	193	150
169	194	148
170	195	147
171	196	146
172	197	145
173	199	144
174	200	143
175	201	141
176	202	140
177	203	139
178	204	138
179	205	137
180	207	136
181	208	134
182	209	133
183	210	132
184	211	131
185	212	130
186	213	129
187	214	128
188	216	126
189	217	125
190	218	124
191	219	123
192	220	122
193	221	121
194	222	119
195	223	118
196	224	117
197	226	116
198	227	115
199	228	114
200	229	112
201	230	111
202	231	110
203	232	109
204	233	108
205	235	107
206	236	106
207	237	104
208	238	103
209	239	102
210	240	101
211	242	100
212	243	99
213	244	98
214	245	97
215	246	95
216	247	94
217	248	93
218	250	92
219	251	91
220	252	90
221	253	89
222	254	88
223	256	86
224	257	85
225	258	84
226	259	83
227	260	82
228	261	81
229	262	79
230	263	78
231	264	77
232	266	76
233	267	75
234	268	74
235	269	73
236	270	71
237	271	70
238	273	69
239	274	68
240	275	67
241	276	66
242	277	65
243	279	64
244	280	62
245	281	61
246	282	60
247	283	59
248	284	58
249	286	57
250	287	56
251	288	54
252	289	53
253	290	52
254	291	51
255	292	50
256	294	49
257	295	48
258	296	46
259	297	45
260	298	44
261	299	43
262	301	42
263	302	41
264	303	40
265	304	38
266	305	37
267	306	36
268	308	35
269	309	34
270	310	33
271	311	32
272	312	30
273	313	29
274	314	28
275	316	27
276	317	26
277	318	25
278	319	24
279	320	22
280	321	21
281	323	20
282	324	19
283	325	18
284	326	17
285	327	16
286	328	14
287	329	13
288	331	12
289	332	11
290	333	10
291	334	9
292	335	8
293	336	6
294	337	5
295	339	4
296	340	3
297	341	2
298	342	1
299	343	0
